Date,RESELE , ,,STORAGE , ,,RESCHG , ,,PPTINC , ,,RAIN , ,,
 ,FEET, ,AF, ,AF, ,INCHES, ,INCHES, ,
06/07/2003,5767.68,,57655,,-32,,0.00,,
06/08/2003,5767.65,,57556,,-99,,0.00,,
06/09/2003,5767.62,,57459,,-97,,0.00,,
06/10/2003,5767.59,,57361,,-98,,0.00,,
06/11/2003,5767.57,,57295,,-66,,0.00,,
06/12/2003,5767.53,,57165,,-130,,0.00,,
06/13/2003,5767.50,,57068,,-97,,0.00,,
06/14/2003,5767.48,,57003,,-65,,0.00,,
06/15/2003,5767.45,,56907,,-96,,0.00,,
06/16/2003,5767.44,,56873,,-34,,0.00,,
06/17/2003,5767.43,,56842,,-31,,0.01,,
06/18/2003,5767.40,,56744,,-98,,0.01,,
06/19/2003,5767.37,,56647,,-97,,0.00,,
06/20/2003,5767.33,,56518,,-129,,0.00,,
06/21/2003,5767.30,,56420,,-98,,0.00,,
06/22/2003,5767.26,,56291,,-129,,0.00,,
06/23/2003,5767.21,,56131,,-160,,0.10,,
06/24/2003,5767.21,,56131,,0,,0.02,,
06/25/2003,5767.21,,56131,,0,,0.00,,
06/26/2003,5767.21,,56131,,0,,0.00,,
06/27/2003,5767.21,,56131,,0,,0.00,,
06/28/2003,5767.19,,56066,,-65,,0.00,,
06/29/2003,5767.15,,55938,,-128,,0.00,,
06/30/2003,5767.12,,55842,,-96,,0.00,,
07/01/2003,5767.08,,55714,,-128,,0.00,,
07/02/2003,5767.06,,55650,,-64,,0.01,,
07/03/2003,5767.03,,55553,,-97,,0.00,,
07/04/2003,5767.01,,55489,,-64,,0.00,,
07/05/2003,5767.00,,55458,,-31,,0.00,,
07/06/2003,5766.98,,55394,,-64,,0.00,,
07/07/2003,5766.94,,55266,,-128,,0.00,,
07/08/2003,5766.91,,55171,,-95,,0.00,,
07/09/2003,5766.89,,55107,,-64,,0.04,,
07/10/2003,5766.87,,55044,,-63,,0.00,,
07/11/2003,5766.85,,54980,,-64,,0.00,,
07/12/2003,5766.82,,54884,,-96,,0.00,,
07/13/2003,5766.79,,54789,,-95,,0.00,,
07/14/2003,5766.76,,54693,,-96,,0.00,,
07/15/2003,5766.72,,54568,,-125,,0.01,,
07/16/2003,5766.70,,54505,,-63,,0.00,,
07/17/2003,5766.68,,54442,,-63,,0.00,,
07/18/2003,5766.66,,54378,,-64,,0.00,,
07/19/2003,5766.63,,54283,,-95,,0.00,,
07/20/2003,5766.61,,54220,,-63,,0.12,,
07/21/2003,5766.59,,54157,,-63,,0.00,,
07/22/2003,5766.56,,54063,,-94,,0.00,,
07/23/2003,5766.55,,54031,,-32,,0.00,,
07/24/2003,5766.52,,53937,,-94,,0.00,,
07/25/2003,5766.49,,53843,,-94,,0.00,,
07/26/2003,5766.45,,53718,,-125,,0.00,,
07/27/2003,5766.42,,53623,,-95,,0.00,,
07/28/2003,5766.40,,53560,,-63,,0.00,,
07/29/2003,5766.38,,53498,,-62,,0.00,,
07/30/2003,5766.35,,53405,,-93,,0.01,,
07/31/2003,5766.31,,53280,,-125,,0.00,,
08/01/2003,5766.28,,53185,,-94,,0.19,,
08/02/2003,5766.28,,53140,e,-45,,0.24,,
08/03/2003,5766.25,,53093,,-47,,0.01,,
08/04/2003,5766.23,,53030,,-63,,0.00,,
08/05/2003,5766.21,,52968,,-62,,0.00,,
08/06/2003,5766.17,,52844,,-124,,0.00,,
08/07/2003,5766.13,,52720,,-124,,0.00,,
08/08/2003,5766.11,,52658,,-62,,0.00,,
08/09/2003,5766.08,,52565,,-93,,0.00,,
08/10/2003,5766.05,,52472,,-93,,0.00,,
08/11/2003,5766.01,,52348,,-124,,0.00,,
08/12/2003,5765.97,,52226,,-122,,0.02,,
08/13/2003,5765.95,,52165,,-62,,0.00,,
08/14/2003,5765.91,,52105,e,-60,,0.00,,
08/15/2003,5765.91,,52041,,-64,,0.00,,
08/16/2003,5765.89,,51980,,-61,,0.00,,
08/17/2003,5765.86,,51887,,-93,,0.00,,
08/18/2003,5765.85,,51857,,-30,,0.00,,
08/19/2003,5765.83,,51795,,-62,,0.00,,
08/20/2003,5765.80,,51703,,-92,,0.00,,
08/21/2003,5765.78,,51641,,-61,,0.23,,
08/22/2003,5765.77,e,51610,r,-31,,0.62,,
08/23/2003,5765.76,e,51580,e,-30,,0.02,,
08/24/2003,5765.75,e,51550,e,-30,,0.00,,
08/25/2003,5765.74,,51520,,-30,,0.00,,
08/26/2003,5765.73,,51489,,-31,,0.00,,
08/27/2003,5765.71,,51428,,-61,,0.00,,
08/28/2003,5765.69,,51367,,-61,,0.00,,
08/29/2003,5765.67,,51306,,-61,,0.00,,
08/30/2003,5765.64,,51215,,-91,,0.00,,
08/31/2003,5765.62,,51154,,-61,,0.00,,
09/01/2003,5765.61,,51123,,-31,,0.01,,
09/02/2003,5765.60,,51093,,-30,,0.00,,
09/03/2003,5765.58,,51032,,-61,,0.00,,
09/04/2003,5765.57,,51001,,-31,,0.00,,
09/05/2003,5765.55,,50940,,-61,,0.00,,
09/06/2003,5765.53,,50880,,-60,,0.00,,
09/07/2003,5765.52,,50850,,-30,,0.05,,
09/08/2003,5765.51,,50819,,-31,,0.00,,
09/09/2003,5765.50,,50789,,-30,,0.00,,
09/10/2003,5765.49,,50662,e,-127,,0.00,,
09/11/2003,5765.48,,50535,e,-127,,0.00,,
09/12/2003,5765.34,,50408,e,-127,,0.00,,
09/13/2003,5765.31,,50280,e,-128,,0.00,,
09/14/2003,5765.29,,50156,,-124,,0.00,,
09/15/2003,5765.26,,50065,,-91,,0.03,,
09/16/2003,5765.23,,49975,,-90,,0.00,,
09/17/2003,5765.23,,49975,,0,,0.00,,
09/18/2003,5765.21,,49915,,-60,,0.05,,
09/19/2003,5765.18,,49826,,-89,,0.00,,
09/20/2003,5765.16,,49766,,-60,,0.00,,
09/21/2003,5765.14,,49706,,-60,,0.00,,
09/22/2003,5765.13,,49676,,-30,,0.03,,
09/23/2003,5765.11,,49616,,-60,,0.00,,
09/24/2003,5765.10,,49587,,-29,,0.00,,
09/25/2003,5765.09,,49556,,-31,,0.01,,
09/26/2003,5765.08,,49527,,-29,,0.00,,
09/27/2003,5765.06,,49467,,-60,,0.04,,
09/28/2003,5765.03,,49377,,-90,,0.00,,
09/29/2003,5765.02,,49348,,-29,,0.00,,
09/30/2003,5764.98,,49228,,-120,,0.00,,
10/01/2003,5764.94,,49108,,-120,,0.00,,0.00,,
10/02/2003,5764.91,,49019,,-89,,0.00,,0.00,,
10/03/2003,--,,49018,r,-1,,0.00,,0.00,,
10/04/2003,--,,48958,r,-60,,0.00,,0.00,,
10/05/2003,--,,48929,r,-29,,0.00,,0.00,,
10/06/2003,--,,48899,r,-30,,0.00,,0.00,,
10/07/2003,--,,48810,r,-89,,0.00,,0.00,,
10/08/2003,--,,48750,r,-60,,0.00,,0.00,,
10/09/2003,--,,48602,r,-148,,0.00,,0.00,,
10/10/2003,--,,48573,r,-29,,0.00,,0.00,,
10/11/2003,--,,48558,e,-15,,0.00,,0.00,,
10/12/2003,--,,48543,r,-15,,0.00,,0.00,,
10/13/2003,--,,48484,r,-59,,0.00,,0.00,,
10/14/2003,--,,48248,r,-236,,0.00,,0.00,,
10/15/2003,5764.65,,48210,r,-38,,0.00,,0.00,,
10/16/2003,5764.65,,48170,r,-40,,0.00,,0.00,,
10/17/2003,5764.61,,48130,r,-40,,0.01,,0.01,,
10/18/2003,5764.61,,48080,e,-50,,0.00,,0.01,,
10/19/2003,5764.61,,48030,e,-50,,0.00,,0.01,,
10/20/2003,5764.61,,47980,e,-50,,0.00,,0.01,,
10/21/2003,5764.61,,47930,e,-50,,0.00,,0.01,,
10/22/2003,5764.61,,47880,e,-50,,0.00,,0.01,,
10/23/2003,5764.61,,47830,e,-50,,0.00,,0.01,,
10/24/2003,5764.61,,47780,e,-50,,0.00,,0.01,,
10/25/2003,5764.61,,47730,e,-50,,0.00,,0.01,,
10/26/2003,5764.61,,47680,e,-50,,0.00,,0.01,,
10/27/2003,5764.61,,47630,e,-50,,0.00,,0.01,,
10/28/2003,5764.61,,47580,e,-50,,0.00,,0.01,,
10/29/2003,5764.61,,47530,e,-50,,0.00,,0.01,,
10/30/2003,5764.39,,47480,,-50,,0.00,,0.01,,
10/31/2003,5764.39,,47485,r,5,,0.07,,0.08,,
11/01/2003,5764.39,,47417,e,-68,,0.02,,0.10,,
11/02/2003,5764.39,,47349,e,-68,,0.03,,0.13,,
11/03/2003,5764.32,,47281,,-68,,0.08,,0.21,,
11/04/2003,5764.31,,47252,,-28,,0.00,,0.21,,
11/05/2003,5764.31,,47223,e,-30,,0.00,,0.21,,
11/06/2003,5764.29,,47194,,-29,,0.01,,0.22,,
11/07/2003,5764.26,,47106,,-88,,0.00,,0.22,,
11/08/2003,5764.26,,47174,e,68,,0.47,,0.69,,
11/09/2003,5764.26,,47242,e,68,,0.81,,1.50,,
11/10/2003,5764.33,,47311,,69,,0.03,,1.53,,
11/11/2003,5764.33,,47267,e,-44,,0.01,,1.54,,
11/12/2003,5764.30,,47223,,-44,,0.00,,1.54,,
11/13/2003,5764.30,,47228,e,5,,0.00,,1.54,,
11/14/2003,5764.30,,47234,e,6,,0.16,,1.70,,
11/15/2003,5764.30,,47240,e,6,,0.04,,1.74,,
11/16/2003,5764.30,,47246,e,6,,0.04,,1.78,,
11/17/2003,5764.31,,47252,,6,,0.02,,1.80,,
11/18/2003,5764.31,,47238,e,-14,,0.01,,1.81,,
11/19/2003,5764.30,,47223,,-15,,0.00,,1.81,,
11/20/2003,5764.30,,47207,,-16,,0.00,,1.81,,
11/21/2003,5764.30,,47190,e,-17,,0.00,,1.81,,
11/22/2003,5764.30,,47175,e,-15,,0.00,,1.81,,
11/23/2003,5764.30,,47085,e,-90,,0.00,,1.81,,
11/24/2003,5764.30,,46995,e,-90,,0.00,,1.81,,
11/25/2003,5764.19,,46903,,-92,,0.00,,1.81,,
11/26/2003,5764.18,e,46870,e,-33,,0.00,,1.81,,
11/27/2003,5764.16,e,46835,e,-35,,0.00,,1.81,,
11/28/2003,5764.15,e,46800,e,-35,,0.00,,1.81,,
11/29/2003,5764.14,e,46768,e,-32,,0.00,,1.81,,
11/30/2003,5764.13,e,46733,e,-35,,0.00,,1.81,,
12/01/2003,5764.12,,46701,,-32,,0.18,,1.99,,
12/02/2003,5764.11,,46672,,-30,,0.05,,2.04,,
12/03/2003,5764.11,,46640,e,-32,,0.01,,2.05,,
12/04/2003,5764.11,,46672,,32,,0.00,,2.05,,
12/05/2003,5764.10,,46643,,-29,,0.15,,2.20,,
12/06/2003,5764.14,,46759,,116,,2.52,,4.72,,
12/07/2003,5764.14,,46970,e,211,,0.17,,4.89,,
12/08/2003,5764.14,,47180,e,210,,0.03,,4.92,,
12/09/2003,5764.14,,47390,e,210,,0.01,,4.93,,
12/10/2003,5764.43,,47603,,213,,0.65,,5.58,,
12/11/2003,5764.46,,47690,,87,,0.12,,5.70,,
12/12/2003,5764.46,,47741,e,51,,0.07,,5.77,,
12/13/2003,5764.46,,47790,e,49,,0.00,,5.77,,
12/14/2003,5764.46,,47845,e,55,,0.62,,6.39,,
12/15/2003,5764.53,,47895,,50,,0.00,,6.39,,
12/16/2003,5764.53,,47925,e,30,,0.00,,6.39,,
12/17/2003,5764.55,,47954,,29,,0.00,,6.39,,
12/18/2003,5764.55,,47954,,0,,0.00,,6.39,,
12/19/2003,5764.53,,47895,,-59,,0.01,,6.40,,
12/20/2003,5764.54,,47925,,30,,0.26,,6.66,,
12/21/2003,5764.54,,47940,e,15,,0.02,,6.68,,
12/22/2003,5764.55,,47954,,14,,0.00,,6.68,,
12/23/2003,5764.55,,47980,e,26,,0.04,,6.72,,
12/24/2003,5764.55,,48010,e,30,,1.23,,7.95,,
12/25/2003,5764.55,,48040,e,30,,0.35,,8.30,,
12/26/2003,5764.59,,48071,,31,,0.03,,8.33,,
12/27/2003,5764.59,,48235,e,164,,0.00,,8.33,,
12/28/2003,5764.59,,48395,e,160,,0.00,,8.33,,
12/29/2003,5764.59,,48555,e,160,,1.20,,9.53,,
12/30/2003,5764.81,,48722,,167,,0.16,,9.69,,
12/31/2003,5764.81,,48870,e,148,,0.13,,9.82,,
01/01/2004,5764.81,,49020,e,150,,1.03,,10.85,,
01/02/2004,5764.96,,49168,,148,,0.25,,11.10,,
01/03/2004,5764.96,,49315,e,147,,0.03,,11.13,,
01/04/2004,5764.96,,49465,e,150,,0.00,,11.13,,
01/05/2004,5765.06,,49467,,2,,0.01,,11.14,,
01/06/2004,5765.03,,49377,,-90,,0.15,,11.29,,
01/07/2004,5764.96,,49168,,-209,,0.14,,11.43,,
01/08/2004,5764.96,,49065,e,-103,,0.05,,11.48,,
01/09/2004,5764.89,,48960,,-105,,0.01,,11.49,,
01/10/2004,5764.89,,48860,e,-100,,0.01,,11.50,,
01/11/2004,5764.89,,48760,e,-100,,0.01,,11.51,,
01/12/2004,5764.80,,48692,,-68,,0.00,,11.51,,
01/13/2004,5764.80,,48605,e,0,,0.01,,11.52,,
01/14/2004,5764.74,,48515,,-177,,0.00,,11.52,,
01/15/2004,5764.71,,48426,,-89,,0.00,,11.52,,
01/16/2004,5764.70,,48397,,-29,,0.00,,11.52,,
01/17/2004,5764.70,,48295,e,0,,0.00,,11.52,,
01/18/2004,5764.70,,48190,e,0,,0.01,,11.53,,
01/19/2004,5724.70,,48085,e,-47309,,0.00,,11.53,,
01/20/2004,5764.56,,47984,,-412,,0.00,,11.53,,
01/21/2004,5764.56,,47850,e,0,,0.00,,11.53,,
01/22/2004,5764.47,,47720,,-264,,0.01,,11.54,,
01/23/2004,5764.42,,47573,,-147,,0.00,,11.54,,
01/24/2004,5764.40,,47515,,-58,,0.07,,11.61,,
01/25/2004,5764.37,,47428,,-87,,0.02,,11.63,,
01/26/2004,5764.33,,47311,,-117,,0.00,,11.63,,
01/27/2004,5764.33,,47311,,0,,0.37,,12.00,,
01/28/2004,5764.30,,47223,,-88,,0.02,,12.02,,
01/29/2004,5764.25,,47078,,-145,,0.01,,12.03,,
01/30/2004,5764.24,,47049,,-29,,0.02,,12.05,,
01/31/2004,5764.20,,46933,,-116,,0.01,,12.06,,
02/01/2004,5764.17,,46845,,-88,,0.01,,12.07,,
02/02/2004,5764.21,,46961,,116,,0.87,,12.94,,
02/03/2004,5764.18,,46875,,-86,,0.14,,13.08,,
02/04/2004,5764.15,,46787,,-88,,0.01,,13.09,,
02/05/2004,5764.12,,46701,,-86,,0.00,,13.09,,
02/06/2004,5764.09,,46614,,-87,,0.20,,13.29,,
02/07/2004,5764.06,,46528,,-86,,0.04,,13.33,,
02/08/2004,5764.03,,46440,,-88,,0.03,,13.36,,
02/09/2004,5764.00,,46354,,-86,,0.00,,13.36,,
02/10/2004,5763.96,,46239,,-115,,0.00,,13.36,,
02/11/2004,5763.92,e,46140,e,-99,,0.00,,13.36,,
02/12/2004,5763.89,,46039,,-101,,0.00,,13.36,,
02/13/2004,5763.84,,45895,,-144,,0.00,,13.36,,
02/14/2004,5763.80,,45780,,-115,,0.00,,13.36,,
02/15/2004,5763.76,,45666,,-114,,0.00,,13.36,,
02/16/2004,5763.89,,46039,,373,,1.23,,14.59,,
02/17/2004,5764.02,,46412,,373,,0.62,,15.21,,
02/18/2004,5764.07,,46556,,144,,0.57,,15.78,,
02/19/2004,5764.04,,46470,,-86,,0.04,,15.82,,
02/20/2004,5764.00,,46354,,-116,,0.00,,15.82,,
02/21/2004,5763.98,,46297,,-57,,0.12,,15.94,,
02/22/2004,5763.93,,46154,,-143,,0.07,,16.01,,
02/23/2004,5763.89,,46039,,-115,,0.04,,16.05,,
02/24/2004,5763.83,,45867,,-172,,0.02,,16.07,,
02/25/2004,5763.96,,46239,,373,,1.41,,17.48,,
02/26/2004,5763.97,,46267,,28,,0.87,,18.35,,
02/27/2004,5763.91,,46096,,-171,,0.05,,18.40,,
02/28/2004,5763.86,,45952,,-144,,0.01,,18.41,,
02/29/2004,5763.80,,45780,,-172,,0.00,,18.41,,
