Date,RESELE , ,,STORAGE , ,,RESCHG , ,,PPTINC , ,,RAIN , ,,TEMPMN , ,,TEMPMX , ,,TEMPAV , ,,
 ,FEET, ,AF, ,AF, ,INCHES, ,INCHES, ,DEGF, ,DEGF, ,DEGF, ,
06/07/2003,5002.52,,23050,,-15,,0.00,,
06/08/2003,5002.49,,23022,,-28,,0.00,,
06/09/2003,5002.45,,22984,,-38,,0.00,,
06/10/2003,5002.43,,22966,,-18,,0.00,,
06/11/2003,5002.41,,22947,,-19,,0.00,,
06/12/2003,5002.37,,22909,,-38,,0.00,,
06/13/2003,5002.33,,22872,,-37,,0.00,,
06/14/2003,5002.28,,22825,,-47,,0.00,,
06/15/2003,5002.25,,22797,,-28,,0.00,,
06/16/2003,5002.04,,22775,e,-22,,0.00,,
06/17/2003,5002.20,,22751,,-24,,0.00,,
06/18/2003,5002.16,,22713,,-38,,0.00,,
06/19/2003,5002.12,,22676,,-37,,0.00,,
06/20/2003,5002.08,,22639,,-37,,0.00,,
06/21/2003,5002.04,,22601,,-38,,0.00,,
06/22/2003,5002.00,,22564,,-37,,0.00,,
06/23/2003,5001.99,,22555,,-9,,0.00,,
06/24/2003,5001.98,,22546,,-9,,0.00,,
06/25/2003,5001.94,,22509,,-37,,0.00,,
06/26/2003,5001.93,,22500,,-9,,0.04,,
06/27/2003,5001.89,,22462,,-38,,0.00,,
06/28/2003,5001.84,,22416,,-46,,0.00,,
06/29/2003,5001.80,,22379,,-37,,0.00,,
06/30/2003,5001.73,,22314,,-65,,0.00,,
07/01/2003,5001.68,,22269,,-45,,0.00,,
07/02/2003,5001.62,,22213,,-56,,0.00,,
07/03/2003,5001.56,,22158,,-55,,0.00,,
07/04/2003,5001.53,,22130,,-28,,0.00,,
07/05/2003,5001.48,,22085,,-45,,0.00,,
07/06/2003,5001.44,,22048,,-37,,0.00,,
07/07/2003,5001.36,,21975,,-73,,0.00,,
07/08/2003,5001.30,,21920,,-55,,0.00,,
07/09/2003,5001.26,,21883,,-37,,0.00,,
07/10/2003,5001.20,,21829,,-54,,0.00,,
07/11/2003,5001.14,,21774,,-55,,0.00,,
07/12/2003,5001.08,,21720,,-54,,0.00,,
07/13/2003,5001.02,,21665,,-55,,0.00,,
07/14/2003,5000.98,,21629,,-36,,0.00,,
07/15/2003,5000.91,,21566,,-63,,0.00,,
07/16/2003,5000.86,,21521,,-45,,0.00,,
07/17/2003,5000.80,,21466,,-55,,0.00,,
07/18/2003,5000.73,,21404,,-62,,0.00,,
07/19/2003,5000.67,,21350,,-54,,0.00,,
07/20/2003,5000.62,,21305,,-45,,0.00,,
07/21/2003,5000.56,,21251,,-54,,0.00,,
07/22/2003,5000.50,,21197,,-54,,0.00,,
07/23/2003,5000.44,,21144,,-53,,0.00,,
07/24/2003,5000.39,,21099,,-45,,0.00,,
07/25/2003,5000.32,,21036,,-63,,0.00,,
07/26/2003,5000.26,,20983,,-53,,0.00,,
07/27/2003,5000.20,,20930,,-53,,0.00,,
07/28/2003,5000.14,,20877,,-53,,0.00,,
07/29/2003,5000.10,,20841,,-36,,0.00,,
07/30/2003,5000.03,,20779,,-62,,0.00,,
07/31/2003,5000.00,,20753,,-26,,0.00,,
08/01/2003,4999.90,,20659,,-94,,0.00,,
08/02/2003,4999.87,,20633,,-26,,0.08,,
08/03/2003,4999.82,,20588,,-45,,0.04,,
08/04/2003,4999.77,,20544,,-44,,0.00,,
08/05/2003,4999.71,,20491,,-53,,0.04,,
08/06/2003,4999.64,,20430,,-61,,0.00,,
08/07/2003,4999.57,,20368,,-62,,0.00,,
08/08/2003,4999.53,,20333,,-35,,0.00,,
